Date,"('Close', 'CAC')","('Close', 'FTSE')","('Close', 'MDAX')","('Close', 'SP500')","('Close', 'TOPIX')",score_headline,anger_headline,disgust_headline,fear_headline,joy_headline,sadness_headline,score_lead_par,anger_lead_par,disgust_lead_par,fear_lead_par,joy_lead_par,sadness_lead_par,emotion_headline_negative,emotion_lead_par_negative,emotion_lead_par_positive
2020-12-22,5466.86,6453.16,30233.41,3687.26,1761.12,-0.705711,0.509794,0.329303,0.000917,0.345686,0.015794,-0.41799,0.159524,0.12831099999999998,0.150041,0.546308,0.5018630000000001,1,1,0
2020-12-23,5527.59,6495.75,30413.79,3690.01,1765.21,-0.8353440000000001,0.485479,0.448269,0.001475,0.225646,0.08645900000000001,-0.49801599999999996,0.195528,0.45131800000000005,0.132096,0.518509,0.573843,1,1,0
2020-12-29,5611.79,6602.65,30912.39,3727.04,1819.18,-0.700232,0.349551,0.156696,0.001467,0.5407270000000001,0.048046,-0.6209,0.43058100000000005,0.11038699999999999,0.120796,0.47448500000000005,0.25347600000000003,1,1,0
2020-12-30,5599.41,6555.82,30796.26,3732.04,1804.68,-0.5177510000000001,0.418853,0.34308,0.00047699999999999994,0.38874699999999995,0.003849,0.341018,0.5103949999999999,0.079124,0.076375,0.665854,0.16527,1,0,1
2021-01-04,5588.96,6571.88,30950.6,3700.65,1794.59,-0.674921,0.498266,0.265,0.0024100000000000002,0.38199,0.012444,-0.5065810000000001,0.142432,0.17175,0.19355999999999998,0.222688,0.575906,1,1,0
2021-01-05,5564.6,6612.25,31059.88,3726.86,1791.22,-0.719921,0.26366799999999996,0.18452000000000002,0.051078,0.5684600000000001,0.116987,-0.509942,0.166219,0.158299,0.114298,0.527311,0.5740689999999999,1,1,0
2021-01-06,5630.6,6841.86,31121.01,3748.14,1796.18,-0.382536,0.44652200000000003,0.441292,4.1e-05,0.31596599999999997,0.000791,-0.453396,0.15781900000000001,0.48002100000000003,0.118947,0.535087,0.530453,1,1,0
2021-01-07,5669.85,6856.96,31224.28,3803.79,1826.3,-0.649311,0.49805699999999997,0.334108,0.00054,0.320281,0.022205000000000003,-0.47893100000000005,0.618845,0.45975,0.553072,0.434349,0.56326,1,1,0
2021-01-08,5706.88,6873.26,31356.65,3824.68,1854.94,-0.577188,0.473717,0.411184,0.0005009999999999999,0.315971,0.0074010000000000005,-0.582083,0.21064499999999997,0.203802,0.131727,0.475761,0.568883,1,1,0
2021-01-12,5650.97,6754.11,31188.35,3801.19,1857.94,-0.357015,0.478441,0.546824,0.075656,0.562912,0.493187,-0.5721189999999999,0.162075,0.215873,0.139295,0.47921199999999997,0.577762,1,1,0
2021-01-13,5662.67,6745.52,31308.3,3809.84,1864.4,-0.802586,0.428713,0.429091,0.000417,0.327834,0.002357,-0.5298109999999999,0.166475,0.202914,0.579389,0.4895,0.5807859999999999,1,1,0
2021-01-14,5681.14,6801.96,31572.08,3795.54,1873.28,-0.703697,0.48766400000000004,0.287402,0.000217,0.38205100000000003,0.001918,-0.570153,0.5359470000000001,0.475991,0.159774,0.440679,0.600576,1,1,0
